id,portalId,createdAt,lastUpdated,type
15979360,62515,1446747830340,1446755907290,NOTE
15979375,62515,1446747832297,1446755908443,NOTE
15979385,62515,1446747832996,1446755908620,NOTE
15979420,62515,1446747834645,1446755909127,NOTE
15979425,62515,1446747838485,1446755910689,NOTE
15979435,62515,1446747838849,1446755910906,NOTE
15979450,62515,1446747839180,1446755911063,NOTE
15979460,62515,1446747839420,1446755911219,NOTE
15979480,62515,1446747841875,1446755891438,NOTE
15979485,62515,1446747842054,1446755891542,NOTE
15979490,62515,1446747842389,1446755891657,NOTE
15979495,62515,1446747842957,1446755892096,NOTE
15979500,62515,1446747843249,1446755892389,NOTE
15979505,62515,1446747843367,1446755892533,NOTE
15979510,62515,1446747843479,1446755892650,NOTE
15979520,62515,1446747843861,1446755893046,NOTE
15979525,62515,1446747846519,1446755895699,NOTE
15979530,62515,1446747846796,1446755895974,NOTE
15979540,62515,1446747847715,1446755896878,NOTE
15979545,62515,1446747847835,1446755896991,NOTE
15979550,62515,1446747847954,1446755897142,NOTE
15979555,62515,1446747848492,1446755897419,NOTE
15979560,62515,1446747848587,1446755897523,NOTE
15979575,62515,1446747853573,1446755903267,NOTE
15979580,62515,1446747853870,1446755903513,NOTE
15979585,62515,1446747854570,1446755904065,NOTE
15979590,62515,1446747854706,1446755904170,NOTE
15979595,62515,1446747854987,1446755904557,NOTE
15979600,62515,1446747855098,1446755904685,NOTE
15979605,62515,1446747855218,1446755904796,NOTE
15979610,62515,1446747855690,1446755905317,NOTE
15979615,62515,1446747855800,1446755905473,NOTE
15979620,62515,1446747855899,1446755905583,NOTE
15979625,62515,1446747857484,1446755907371,NOTE
15979635,62515,1446747857985,1446755907701,NOTE
15979645,62515,1446747858114,1446755907811,NOTE
15979655,62515,1446747858648,1446755908304,NOTE
15979660,62515,1446747858800,1446755908449,NOTE
15979665,62515,1446747858910,1446755908580,NOTE
15979675,62515,1446747859065,1446755908695,NOTE
15979680,62515,1446747859202,1446755908806,NOTE
15979685,62515,1446747859712,1446755909153,NOTE
15979690,62515,1446747860045,1446755909518,NOTE
15979695,62515,1446747860193,1446755909686,NOTE
15979700,62515,1446747860326,1446755909880,NOTE
15979705,62515,1446747860445,1446755909991,NOTE
15979710,62515,1446747860920,1446755910134,NOTE
15979715,62515,1446747861369,1446755910366,NOTE
15979720,62515,1446747861492,1446755910469,NOTE
15979725,62515,1446747864241,1446755913416,NOTE
15979730,62515,1446747864484,1446755913810,NOTE
15979735,62515,1446747864755,1446755914093,NOTE
15979740,62515,1446747864979,1446755914332,NOTE
15979745,62515,1446747865178,1446755914478,NOTE
15979755,62515,1446747866180,1446755914958,NOTE
15979760,62515,1446747866274,1446755915097,NOTE
15979765,62515,1446747866538,1446755915354,NOTE
15979770,62515,1446747866652,1446755915479,NOTE
15979780,62515,1446747869393,1446755917877,NOTE
15979785,62515,1446747870080,1446755896429,NOTE
15979790,62515,1446747870212,1446755896560,NOTE
15979795,62515,1446747870601,1446755896880,NOTE
15979800,62515,1446747870722,1446755897046,NOTE
15979805,62515,1446747871230,1446755897793,NOTE
15979810,62515,1446747871609,1446755898272,NOTE
15979815,62515,1446747871719,1446755898444,NOTE
15979825,62515,1446747871828,1446755898629,NOTE
15979835,62515,1446747873705,1446755899914,NOTE
15979840,62515,1446747873942,1446755900130,NOTE
15979845,62515,1446747874068,1446755900308,NOTE
15979850,62515,1446747874179,1446755900494,NOTE
15979855,62515,1446747874438,1446755900780,NOTE
15979860,62515,1446747874544,1446755900919,NOTE
